,dealer_cards,player_cards,points,mean_profit_stand,mean_profit_hit,mean_profit_double,mean_profit_split,mean_profit_split_double,insurance,n_iter
0,A,"['A', 'A']",12,-0.77756,-0.50684,-1.00544,-0.30354,-0.59028,True,50000
1,A,"['T', 'T']",20,0.18156,-0.90196,-1.803,-0.61572,-1.22928,True,50000
2,A,"['9', '9']",18,-0.35998,-0.71766,-1.42408,-0.81712,-1.835,True,50000
3,A,"['8', '8']",16,-0.7578,-0.6316,-1.24924,-0.96622,-2.28156,True,50000
4,A,"['7', '7']",14,-0.75408,-0.66024,-1.31828,-1.13728,-2.73724,True,50000
5,A,"['6', '6']",12,-0.74312,-0.5752,-1.16064,-1.20992,-2.93472,True,50000
6,A,"['5', '5']",10,-0.7652,-0.2926,-0.5656,-1.26408,-3.05872,True,50000
7,A,"['4', '4']",8,-0.7666,-0.50614,-1.19268,-1.23562,-3.05952,True,50000
8,A,"['3', '3']",6,-0.77036,-0.6381,-1.5322,-1.21506,-3.09232,True,50000
9,A,"['2', '2']",4,-0.76828,-0.61152,-1.53336,-1.19864,-3.09904,True,50000
