,dealer_cards,player_cards,points,mean_profit_stand,mean_profit_hit,mean_profit_double,n_iter
0,A,"['A', 'T']",21,0.7003,,,10000
1,T,"['A', 'T']",21,0.9382,,,10000
2,9,"['A', 'T']",21,1.0,,,10000
3,8,"['A', 'T']",21,1.0,,,10000
4,7,"['A', 'T']",21,1.0,,,10000
5,6,"['A', 'T']",21,1.0,,,10000
6,5,"['A', 'T']",21,1.0,,,10000
7,4,"['A', 'T']",21,1.0,,,10000
8,3,"['A', 'T']",21,1.0,,,10000
9,2,"['A', 'T']",21,1.0,,,10000
10,A,"['A', '9']",20,0.1311,-0.3254,-0.6672,10000
11,T,"['A', '9']",20,0.4584,-0.0647,-0.1824,10000
12,9,"['A', '9']",20,0.7769,0.0663,0.1052,10000
13,8,"['A', '9']",20,0.7841,0.1108,0.2178,10000
14,7,"['A', '9']",20,0.7676,0.1798,0.3854,10000
15,6,"['A', '9']",20,0.6925,0.2881,0.5318,10000
16,5,"['A', '9']",20,0.6744,0.2673,0.5586,10000
17,4,"['A', '9']",20,0.6503,0.2471,0.4414,10000
18,3,"['A', '9']",20,0.6431,0.1878,0.3896,10000
19,2,"['A', '9']",20,0.6529,0.1989,0.391,10000
20,A,"['A', '8']",19,-0.139,-0.3576,-0.7052,10000
21,T,"['A', '8']",19,-0.003,-0.1804,-0.3762,10000
22,9,"['A', '8']",19,0.2891,-0.0215,-0.0258,10000
23,8,"['A', '8']",19,0.6155,0.1028,0.1808,10000
24,7,"['A', '8']",19,0.6066,0.1659,0.3222,10000
25,6,"['A', '8']",19,0.4864,0.2389,0.4912,10000
26,5,"['A', '8']",19,0.4603,0.2276,0.4616,10000
27,4,"['A', '8']",19,0.4198,0.1813,0.364,10000
28,3,"['A', '8']",19,0.4269,0.1585,0.3564,10000
29,2,"['A', '8']",19,0.3984,0.1163,0.2696,10000
30,A,"['A', '7']",18,-0.3961,-0.4194,-0.851,10000
31,T,"['A', '7']",18,-0.2258,-0.2023,-0.3906,10000
32,9,"['A', '7']",18,-0.1701,-0.1203,-0.2508,10000
33,8,"['A', '7']",18,0.1208,-0.0074,-0.062,10000
34,7,"['A', '7']",18,0.4058,0.1186,0.2566,10000
35,6,"['A', '7']",18,0.2637,0.2003,0.3934,10000
36,5,"['A', '7']",18,0.2321,0.1674,0.3464,10000
37,4,"['A', '7']",18,0.2135,0.1451,0.3324,10000
38,3,"['A', '7']",18,0.1638,0.0919,0.188,10000
39,2,"['A', '7']",18,0.1548,0.0726,0.152,10000
40,A,"['A', '6']",17,-0.6506,-0.4811,-0.9414,10000
41,T,"['A', '6']",17,-0.4528,-0.2419,-0.4856,10000
42,9,"['A', '6']",17,-0.3997,-0.1616,-0.317,10000
43,8,"['A', '6']",17,-0.3867,-0.1022,-0.2216,10000
44,7,"['A', '6']",17,-0.094,0.0049,0.0074,10000
45,6,"['A', '6']",17,0.0029,0.1321,0.2736,10000
46,5,"['A', '6']",17,0.0167,0.1374,0.2938,10000
47,4,"['A', '6']",17,-0.0449,0.0643,0.1476,10000
48,3,"['A', '6']",17,-0.0902,0.0288,0.0944,10000
49,2,"['A', '6']",17,-0.131,-0.0059,-0.0074,10000
50,A,"['A', '5']",16,-0.767,-0.524,-1.0646,10000
51,T,"['A', '5']",16,-0.554,-0.3278,-0.5872,10000
52,9,"['A', '5']",16,-0.524,-0.2334,-0.4616,10000
53,8,"['A', '5']",16,-0.5066,-0.1696,-0.3482,10000
54,7,"['A', '5']",16,-0.4554,-0.0775,-0.176,10000
55,6,"['A', '5']",16,-0.0988,0.1171,0.1938,10000
56,5,"['A', '5']",16,-0.1216,0.0748,0.1718,10000
57,4,"['A', '5']",16,-0.1572,0.0139,0.0312,10000
58,3,"['A', '5']",16,-0.206,-0.0082,-0.0322,10000
59,2,"['A', '5']",16,-0.2482,-0.0319,-0.076,10000
60,A,"['A', '4']",15,-0.772,-0.515,-1.0026,10000
