,dealer_cards,player_cards,points,mean_profit_stand,mean_profit_hit,mean_profit_double,mean_profit_split,mean_profit_split_double,n_iter
0,A,"['A', 'A']",12,-0.77404,-0.50328,-0.99956,-0.3001,-0.6084,50000
1,T,"['A', 'A']",12,-0.55468,-0.26394,-0.5218,0.12778,0.27328,50000
2,9,"['A', 'A']",12,-0.51244,-0.20706,-0.41952,0.28948,0.59032,50000
3,8,"['A', 'A']",12,-0.49364,-0.14784,-0.2884,0.39712,0.85148,50000
4,7,"['A', 'A']",12,-0.45328,-0.06258,-0.14184,0.538,1.08104,50000
5,6,"['A', 'A']",12,-0.10512,0.11934,0.24348,0.75608,1.51108,50000
6,5,"['A', 'A']",12,-0.13568,0.10632,0.2312,0.74052,1.46264,50000
7,4,"['A', 'A']",12,-0.17848,0.06668,0.13784,0.67028,1.35896,50000
8,3,"['A', 'A']",12,-0.22936,0.02836,0.06332,0.59314,1.23344,50000
9,2,"['A', 'A']",12,-0.272,-0.01634,-0.02016,0.56622,1.11828,50000
10,A,"['T', 'T']",20,0.18414,-0.8987,-1.79972,-0.6136,-1.20772,50000
11,T,"['T', 'T']",20,0.45284,-0.84484,-1.68928,-0.19826,-0.35832,50000
12,9,"['T', 'T']",20,0.74204,-0.84072,-1.6902,0.07446,0.16872,50000
13,8,"['T', 'T']",20,0.78432,-0.84414,-1.68368,0.20814,0.42536,50000
14,7,"['T', 'T']",20,0.7676,-0.84128,-1.67788,0.33516,0.68792,50000
15,6,"['T', 'T']",20,0.6921,-0.84312,-1.68016,0.5214,1.04496,50000
16,5,"['T', 'T']",20,0.6741,-0.8469,-1.69952,0.49034,0.98116,50000
17,4,"['T', 'T']",20,0.64776,-0.84542,-1.68756,0.43162,0.8398,50000
18,3,"['T', 'T']",20,0.63476,-0.84764,-1.6932,0.35342,0.695,50000
19,2,"['T', 'T']",20,0.62624,-0.84662,-1.69772,0.29844,0.61372,50000
20,A,"['9', '9']",18,-0.36048,-0.72144,-1.42484,-0.81556,-1.82228,50000
21,T,"['9', '9']",18,-0.19646,-0.6441,-1.28692,-0.47308,-1.12364,50000
22,9,"['9', '9']",18,-0.19802,-0.596,-1.18896,-0.21674,-0.57588,50000
23,8,"['9', '9']",18,0.0559,-0.56356,-1.1322,0.04822,-0.11764,50000
24,7,"['9', '9']",18,0.4023,-0.56324,-1.133,0.16002,0.13288,50000
25,6,"['9', '9']",18,0.2648,-0.58574,-1.16116,0.37216,0.56092,50000
26,5,"['9', '9']",18,0.20276,-0.59246,-1.18632,0.338,0.52576,50000
27,4,"['9', '9']",18,0.17468,-0.59374,-1.20196,0.24944,0.346,50000
28,3,"['9', '9']",18,0.12034,-0.6394,-1.279,0.16434,0.18876,50000
29,2,"['9', '9']",18,0.13324,-0.6289,-1.251,0.17524,0.20044,50000
30,A,"['8', '8']",16,-0.7618,-0.63592,-1.2654,-0.96556,-2.30356,50000
31,T,"['8', '8']",16,-0.56176,-0.54852,-1.0928,-0.62288,-1.59636,50000
32,9,"['8', '8']",16,-0.51128,-0.48472,-0.98764,-0.50466,-1.41,50000
33,8,"['8', '8']",16,-0.55736,-0.42606,-0.85888,-0.24758,-0.9692,50000
34,7,"['8', '8']",16,-0.50388,-0.37542,-0.74404,0.0549,-0.34452,50000
35,6,"['8', '8']",16,-0.17864,-0.3948,-0.8008,0.22162,0.14736,50000
36,5,"['8', '8']",16,-0.15852,-0.45282,-0.91016,0.21396,0.06716,50000
37,4,"['8', '8']",16,-0.21748,-0.46148,-0.93592,0.10878,-0.10232,50000
38,3,"['8', '8']",16,-0.22904,-0.45168,-0.89584,0.07558,-0.09928,50000
39,2,"['8', '8']",16,-0.27748,-0.45806,-0.90356,0.00108,-0.2486,50000
40,A,"['7', '7']",14,-0.75492,-0.6597,-1.31756,-1.12712,-2.72688,50000
41,T,"['7', '7']",14,-0.54968,-0.558,-1.11324,-0.77838,-2.0298,50000
42,9,"['7', '7']",14,-0.55408,-0.48898,-0.98872,-0.68282,-1.94388,50000
